symbol,ex_code,sectype,currency,name,sector,industry,startdate,enddate
A,ARCA,largecap,USD,Agilent Technologies Inc,Health Care,Health Care Equipment,1999-11-18,2020-05-11
AAL,ARCA,largecap,USD,American Airlines Group,Industrials,Airlines,2005-09-27,2020-05-11
AAP,ARCA,largecap,USD,Advance Auto Parts,Consumer Discretionary,Automotive Retail,2001-11-29,2020-05-11
AAPL,ARCA,largecap,USD,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1994-01-03,2020-05-11
ABBV,ARCA,largecap,USD,AbbVie Inc.,Health Care,Pharmaceuticals,2013-01-02,2020-05-11
ABC,ARCA,largecap,USD,AmerisourceBergen Corp,Health Care,Health Care Distributors,1995-04-04,2020-05-11
ABMD,ARCA,largecap,USD,ABIOMED Inc,Health Care,Health Care Equipment,1994-01-03,2020-05-11
ABT,ARCA,largecap,USD,Abbott Laboratories,Health Care,Health Care Equipment,1994-01-03,2020-05-11
ACN,ARCA,largecap,USD,Accenture plc,Information Technology,IT Consulting & Other Services,2001-07-19,2020-05-11
ADBE,ARCA,largecap,USD,Adobe Systems Inc,Information Technology,Application Software,1994-01-03,2020-05-11
ADI,ARCA,largecap,USD,"Analog Devices, Inc.",Information Technology,Semiconductors,1994-01-03,2020-05-11
ADM,ARCA,largecap,USD,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,1994-01-03,2020-05-11
ADP,ARCA,largecap,USD,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,1994-01-03,2020-05-11
ADS,ARCA,largecap,USD,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,2001-06-15,2020-05-11
ADSK,ARCA,largecap,USD,Autodesk Inc.,Information Technology,Application Software,1994-01-03,2020-05-11
AEE,ARCA,largecap,USD,Ameren Corp,Utilities,Multi-Utilities,1998-01-02,2020-05-11
AEP,ARCA,largecap,USD,American Electric Power,Utilities,Electric Utilities,1994-01-03,2020-05-11
AES,ARCA,largecap,USD,AES Corp,Utilities,Independent Power Producers & Energy Traders,1994-01-03,2020-05-11
AFL,ARCA,largecap,USD,AFLAC Inc,Financials,Life & Health Insurance,1994-01-03,2020-05-11
AIG,ARCA,largecap,USD,American International Group,Financials,Property & Casualty Insurance,1994-01-03,2020-05-11
AIV,ARCA,largecap,USD,Apartment Investment & Management,Real Estate,Residential REITs,1994-07-22,2020-05-11
AIZ,ARCA,largecap,USD,Assurant,Financials,Multi-line Insurance,2004-02-05,2020-05-11
AJG,ARCA,largecap,USD,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,1994-01-03,2020-05-11
AKAM,ARCA,largecap,USD,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,1999-10-29,2020-05-11
ALB,ARCA,largecap,USD,Albemarle Corp,Materials,Specialty Chemicals,1994-02-22,2020-05-11
