Symbol,Name,,
SPY,SPDR S&P 500 ETF,,
IVV,iShares Core S&P 500 ETF,,
VOO,Vanguard S&P 500 ETF,,
EFA,iShares MSCI EAFE ETF,,
VEA,Vanguard FTSE Developed Markets ETF,,
QQQ,PowerShares QQQ,,
VWO,Vanguard FTSE Emerging Markets ETF,,
IEFA,iShares Core MSCI EAFE ETF,,
AGG,iShares Core U.S. Aggregate Bond ETF,,
IEMG,iShares Core MSCI Emerging Markets ETF,,
IWM,iShares Russell 2000 ETF,,
IJR,iShares Core S&P Small-Cap ETF,,
EEM,iShares MSCI Emerging Markets ETF,,
GLD,SPDR Gold Trust,,
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,,
XLF,Financial Select Sector SPDR Fund,,
VNQ,Vanguard Real Estate Index Fund,,
XLK,Technology Select Sector SPDR Fund,,
DIA,SPDR Dow Jones Industrial Average ETF,,
EWJ,iShares MSCI Japan ETF,,
XLE,Energy Select Sector SPDR Fund,,
VGK,Vanguard FTSE Europe ETF,,
XLV,Health Care Select Sector SPDR Fund,,
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,,
XLY,Consumer Discretionary Select Sector SPDR Fund,,
XLI,Industrial Select Sector SPDR Fund,,
EZU,iShares MSCI EMU ETF,,
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,,
IAU,iShares Gold Trust,,
AMLP,Alerian MLP ETF,,
JNK,SPDR Barclays High Yield Bond ETF,,
IBB,iShares Nasdaq Biotechnology ETF,,
BKLN,PowerShares Senior Loan Portfolio,,
IEF,iShares 7-10 Year Treasury Bond ETF,,
XLP,Consumer Staples Select Sector SPDR Fund,,
GDX,VanEck Vectors Gold Miners ETF,,
EWZ,iShares MSCI Brazil ETF,,
XLU,Utilities Select Sector SPDR Fund,,
TLT,iShares 20+ Year Treasury Bond ETF,,
SLV,iShares Silver Trust,,
XBI,SPDR S&P Biotech ETF,,
KRE,SPDR S&P Regional Banking ETF,,
INDA,iShares MSCI India ETF,,
EMLC,VanEck Vectors J.P. Morgan EM Local Currency Bond ETF,,
XLB,Materials Select Sector SPDR ETF,,
GDXJ,VanEck Vectors Junior Gold Miners ETF,,
FXI,iShares China Large-Cap ETF,,
EWY,iShares MSCI South Korea ETF,,
KBE,SPDR S&P Bank ETF,,
FEZ,SPDR EURO STOXX 50 ETF,,
EWT,iShares MSCI Taiwan ETF,,
EWG,iShares MSCI Germany ETF,,
MCHI,iShares MSCI China ETF,,
IYR,iShares U.S. Real Estate ETF,,
DBC,PowerShares DB Commodity Index Tracking Fund,,
XOP,SPDR S&P Oil & Gas Exploration & Production ETF,,
AMJ,JPMorgan Alerian MLP Index ETN,,
EWC,iShares MSCI Canada ETF,,
EWH,iShares MSCI Hong Kong ETF,,
XLRE,Real Estate Select Sector SPDR Fund,,
USO,United States Oil Fund,,
OIH,VanEck Vectors Oil Services ETF,,
RSX,VanEck Vectors Russia ETF,,
SMH,VanEck Vectors Semiconductor ETF,,
SH,ProShares Short S&P 500,,
ITB,iShares U.S. Home Construction ETF,,
XME,SPDR S&P Metals & Mining ETF,,
EWW,iShares MSCI Mexico ETF,,
XHB,SPDR S&P Homebuilders ETF,,
VXX,iPath S&P 500 VIX Short-Term Futures ETN,,
SVXY,ProShares Short VIX Short-Term Futures,,
XRT,SPDR S&P Retail ETF,,
UNG,United States Natural Gas Fund,,
,,,
