date,open,high,low,close,volume
2000-01-03,1477.87,1478.38,1438.17,1455.22,1035333310.0
2000-01-04,1446.43,1446.43,1397.42,1399.42,1121111135.0
2000-01-05,1395.07,1413.34,1377.64,1402.11,1206111099.0
2000-01-06,1398.5,1411.9,1392.02,1403.45,1213666702.0
2000-01-07,1401.03,1441.47,1400.53,1441.47,1361333286.0
2000-01-10,1450.93,1464.41,1449.95,1457.6,1183111111.0
2000-01-11,1455.91,1458.85,1434.42,1438.56,1126666619.0
2000-01-12,1439.56,1442.69,1427.26,1432.25,1082888913.0
2000-01-13,1435.97,1454.6,1432.25,1449.68,1144888889.0
2000-01-14,1457.04,1473.09,1457.04,1465.2,1206555591.0
2000-01-18,1463.62,1465.15,1451.25,1455.14,1174111099.0
2000-01-19,1451.93,1462.23,1448.65,1455.9,1208666643.0
2000-01-20,1459.18,1465.56,1438.56,1445.57,1222999988.0
2000-01-21,1449.36,1452.75,1439.54,1441.36,1344222246.0
2000-01-24,1444.43,1454.25,1395.42,1401.53,1239777754.0
2000-01-25,1402.89,1414.26,1388.49,1410.03,1193000012.0
2000-01-26,1406.86,1412.53,1400.14,1404.19,1241444409.0
2000-01-27,1407.71,1418.95,1380.54,1398.56,1254999988.0
2000-01-28,1398.26,1398.56,1356.14,1360.16,1217555532.0
2000-01-31,1359.9,1394.48,1350.14,1394.46,1104222246.0
2000-02-01,1395.56,1412.59,1384.75,1409.28,1090000024.0
2000-02-02,1408.63,1420.53,1403.2,1409.12,1154000024.0
2000-02-03,1412.84,1426.06,1398.54,1424.97,1273888901.0
2000-02-04,1427.49,1436.01,1420.53,1424.37,1161222258.0
2000-02-07,1423.78,1427.23,1413.33,1424.24,1020111076.0
2000-02-08,1427.05,1441.88,1427.05,1441.72,1164111076.0
2000-02-09,1444.52,1444.52,1411.65,1411.71,1167222234.0
2000-02-10,1413.76,1422.01,1406.41,1416.83,1176444397.0
2000-02-11,1415.16,1416.36,1379.13,1387.12,1139666679.0
2000-02-14,1389.92,1394.56,1380.66,1389.94,1030333345.0
2000-02-15,1389.64,1407.81,1376.21,1402.05,1213444456.0
2000-02-16,1401.98,1404.78,1385.6,1387.67,1131999953.0
2000-02-17,1394.69,1399.86,1380.09,1388.26,1149777730.0
2000-02-18,1388.04,1388.37,1345.25,1346.09,1158111099.0
2000-02-22,1347.37,1358.11,1331.97,1352.17,1088888889.0
2000-02-23,1352.9,1370.12,1342.42,1360.69,1104111123.0
2000-02-24,1361.36,1364.49,1329.9,1353.43,1349999976.0
2000-02-25,1352.86,1362.18,1329.19,1333.36,1183555508.0
2000-02-28,1331.14,1360.82,1325.02,1348.05,1140555567.0
2000-02-29,1353.0,1369.47,1353.0,1366.42,1338111147.0
2000-03-01,1366.36,1382.96,1366.36,1379.19,1415666631.0
2000-03-02,1380.59,1386.86,1370.32,1381.76,1331777801.0
2000-03-03,1387.09,1410.87,1387.09,1409.17,1278111099.0
2000-03-06,1409.07,1409.81,1384.79,1391.28,1143333357.0
2000-03-07,1397.27,1399.48,1349.58,1355.62,1460111076.0
2000-03-08,1359.69,1373.56,1346.46,1366.7,1336666643.0
2000-03-09,1366.42,1401.82,1357.72,1401.69,1247777754.0
2000-03-10,1401.6,1413.38,1392.18,1395.07,1265333286.0
2000-03-13,1387.08,1398.37,1365.71,1383.62,1129000012.0
2000-03-14,1388.88,1395.33,1359.15,1359.15,1215555508.0
2000-03-15,1364.09,1397.91,1357.05,1392.15,1447555603.0
2000-03-16,1396.44,1458.47,1396.44,1458.47,1647000083.0
2000-03-17,1457.4,1476.64,1453.2,1464.47,1438999988.0
2000-03-20,1462.32,1470.23,1448.43,1456.63,1023111111.0
2000-03-21,1456.63,1493.95,1446.08,1493.87,1184333369.0
2000-03-22,1495.39,1504.92,1487.27,1500.64,1194444421.0
2000-03-23,1501.09,1532.2,1493.87,1527.35,1198111099.0
2000-03-24,1529.77,1553.1,1516.76,1527.46,1169111135.0
2000-03-27,1529.18,1534.66,1518.62,1523.86,1001111135.0
2000-03-28,1521.08,1527.33,1507.2,1507.73,1065666655.0
2000-03-29,1509.15,1521.32,1497.29,1508.52,1179888924.0
2000-03-30,1501.65,1517.34,1474.84,1487.92,1325999976.0
2000-03-31,1494.41,1519.77,1484.53,1498.58,1363777801.0
2000-04-03,1490.23,1507.08,1487.09,1505.97,1135222234.0
2000-04-04,1510.05,1526.26,1416.98,1494.73,1683844361.0
2000-04-05,1490.02,1506.58,1478.05,1487.37,1233666655.0
2000-04-06,1491.96,1511.77,1488.28,1501.34,1120000000.0
2000-04-07,1506.27,1518.48,1503.22,1516.35,990666714.0
2000-04-10,1517.16,1527.13,1503.12,1504.45,948555567.0
2000-04-11,1499.05,1512.81,1486.93,1500.59,1079333357.0
2000-04-12,1498.99,1508.52,1466.36,1467.17,1306555544.0
2000-04-13,1472.14,1477.34,1440.14,1440.51,1146666667.0
2000-04-14,1436.47,1436.47,1339.33,1356.56,1421888853.0
